sop_id,title,domain,revision,content
SOP-001,Machine Start-Up and Shutdown Procedure,production,Rev-4,"# 1. Purpose
This procedure defines the standard method for starting up and shutting down
production line machinery to ensure operator safety and equipment longevity.

# 2. Scope
Applies to all production line operators on Line-A through Line-D.
Equipment covered: conveyors, hydraulic presses, CNC lathes, and packaging units.

# 3. Responsibilities
- Shift Supervisor: authorises start-up; signs off on pre-start checklist.
- Operator: performs all steps as listed; reports deviations immediately.
- Maintenance Technician: on call during first 30 minutes of start-up.

# 4. Pre-Start Checklist
1. Confirm all guards are in place and safety interlocks are active.
2. Verify that the area is clear of personnel and obstructions.
3. Check hydraulic fluid level — must be between MIN and MAX marks.
4. Inspect drive belts for wear or cracking; replace if wear exceeds 2 mm.
5. Confirm lubrication points have been greased per PM schedule.
6. Verify emergency stop buttons are functional — press and release each one.
7. Confirm electrical panel shows no active fault codes.

# 5. Start-Up Sequence
1. Enable main isolator switch (key-operated — supervisor key required).
2. Power on HMI and wait for system self-test to complete (<60 s).
3. Select the correct recipe/programme on HMI for the current production run.
4. Jog conveyor at 10% speed for 30 seconds; listen for abnormal noise.
5. Gradually ramp to full production speed over 2 minutes.
6. Monitor temperature, pressure, and vibration readings for first 5 minutes.
7. If any alarm activates, halt and refer to the Alarm Response Matrix (ARM-01).

# 6. Shutdown Sequence
1. Complete the current production lot before initiating shutdown.
2. Reduce speed to 10% on HMI; allow conveyor to clear.
3. Press STOP on HMI; confirm all actuators return to home position.
4. Disable main isolator (lockout if maintenance is required).
5. Log run data (units produced, downtime, OEE) into the production system.
6. Clean equipment surfaces per Cleaning SOP-005.

# 7. Emergency Stop
In case of any safety concern, press the nearest red E-STOP button immediately.
Do not restart until the cause is investigated and signed off by the supervisor.

# 8. Records
Completed checklists must be filed in the Production Log binder (or digital ERP)
within 30 minutes of shift end."
SOP-002,Incident Reporting and Escalation Procedure,incidents,Rev-6,"# 1. Purpose
Define how production incidents are reported, classified, escalated, and closed
to minimise recurrence and ensure regulatory compliance.

# 2. Definitions
- **P1-Critical**: Plant-wide stoppage or safety hazard; immediate response.
- **P2-High**: Line-level stoppage; response within 30 minutes.
- **P3-Medium**: Partial degradation; response within 2 hours.
- **P4-Low**: Minor anomaly; logged and addressed in next available slot.

# 3. Detection and Initial Report
1. Any employee who observes an incident must report it to the Shift Supervisor
   within 5 minutes of detection.
2. Supervisor opens an incident ticket in the ITSM system with:
   - Affected line/equipment
   - Observed symptom
   - Time of detection
   - Initial severity estimate

# 4. Severity Assessment
Supervisor and on-call technician jointly assess severity within 15 minutes.
Severity may be upgraded but not downgraded without QA approval.

# 5. Escalation Matrix
| Severity | Notify within | Escalate to |
|----------|--------------|-------------|
| P1       | 10 minutes    | Plant Manager + Safety Officer |
| P2       | 30 minutes    | Production Manager |
| P3       | 2 hours       | Shift Supervisor |
| P4       | Next business day | Team Lead |

# 6. Investigation and Root Cause Analysis
1. For P1/P2: 5-Why analysis must be completed within 24 hours.
2. For P3/P4: Fishbone or Pareto analysis within 5 business days.
3. Document root cause in ITSM ticket.

# 7. Corrective and Preventive Actions (CAPA)
- Owner assigned for each action item.
- Due dates set based on severity (P1: 7 days; P2: 14 days; P3/P4: 30 days).
- CAPA effectiveness verified at 30- and 90-day checkpoints.

# 8. Closure
Ticket is closed only when all CAPAs are verified effective.
QA sign-off required for P1 and P2.

# 9. Records
All incident records retained for minimum 5 years per regulatory requirement."
SOP-003,Preventive Maintenance Schedule and Execution,maintenance,Rev-3,"# 1. Purpose
Standardise the execution of preventive maintenance (PM) to maximise equipment
reliability and minimise unplanned downtime.

# 2. PM Frequency by Equipment Class
| Equipment Class     | Daily | Weekly | Monthly | Quarterly | Annual |
|---------------------|-------|--------|---------|-----------|--------|
| Conveyors           | Visual| Belt   | Bearing | Full PM   | Overhaul|
| Hydraulic Presses   | Oil   | Seals  | Filter  | Full PM   | Overhaul|
| CNC Lathes          | Clean | Lube   | Calibrate| Full PM  | Overhaul|
| Compressors         | Drain | Filter | Belts   | Full PM   | Overhaul|
| Chillers            | Check | Coils  | Refrigerant| Full PM| Overhaul|

# 3. Work Order Creation
1. CMMS generates PM work orders automatically 7 days before due date.
2. Maintenance Planner reviews and assigns technician.
3. Required parts are kitted 2 days before scheduled date.

# 4. Execution Steps
1. Technician receives work order on mobile device.
2. Obtain permit-to-work from Shift Supervisor before isolating equipment.
3. Apply LOTO (Lockout/Tagout) per LOTO procedure HS-007.
4. Perform tasks listed on work order; record actual condition of each component.
5. Replace parts if condition is below acceptance threshold (see Part Specs TS-012).
6. Take oil/vibration sample if scheduled.
7. Remove LOTO; perform functional test before returning to production.
8. Close work order in CMMS with all findings recorded.

# 5. Parts and Spares Management
Critical spares list is maintained in Stores. Minimum stock levels defined in
Spare Parts Catalogue SPC-001. Technician must flag any stock-outs immediately.

# 6. PM Compliance KPI
Target: ≥ 95% PM completion on schedule. Reported monthly to Plant Manager.
Overdue PMs trigger automatic escalation after 3 days.

# 7. Records
Completed work orders archived in CMMS. Retain for 7 years."
SOP-004,Quality Inspection and Non-Conformance Reporting,quality,Rev-5,"# 1. Purpose
Define the process for conducting quality inspections and raising non-conformance
reports (NCRs) to prevent defective product from reaching customers.

# 2. Inspection Types
- **Incoming**: Raw material receipt — 100% visual + dimensional sample.
- **In-Process**: At defined control points per Control Plan CP-003.
- **Final**: 100% visual + AQL 1.0 attribute sampling before shipment.

# 3. Sampling Plan
Follow MIL-STD-1916 for attribute inspection. Sample sizes are defined
in the Inspection and Test Plan (ITP) for each product family.

# 4. Acceptance Criteria
Dimensional tolerances per engineering drawing. Surface finish per RA spec.
Any defect listed in Defect Catalogue DC-009 is automatic rejection.

# 5. Non-Conformance Report (NCR) Process
1. Inspector raises NCR in QMS within 1 hour of detection.
2. Affected batch is quarantined with orange NCR tag.
3. QA Engineer conducts disposition review within 4 hours.
4. Disposition options: Accept As-Is / Rework / Scrap / Return to Vendor.
5. Rework must be re-inspected before release. Scrap recorded in yield report.

# 6. Statistical Process Control (SPC)
Control charts (Xbar-R or IMR) maintained for critical dimensions.
Out-of-control signals per Nelson Rules trigger immediate investigation.
Cp/Cpk targets: Cp ≥ 1.33, Cpk ≥ 1.00 for critical characteristics.

# 7. Corrective Actions
NCR triggers CAPA if defect rate exceeds 0.5% in any batch or if same defect
recurs three times in 30 days. CAPA ownership assigned to Process Engineer.

# 8. Records
Inspection results, NCRs, and CAPA records retained for 10 years."
SOP-005,Equipment Cleaning and Sanitisation Procedure,production,Rev-2,"# 1. Purpose
Prevent cross-contamination and maintain Good Manufacturing Practice (GMP)
compliance through defined cleaning and sanitisation steps.

# 2. Cleaning Frequencies
- End of each production run: internal surfaces, hoppers, conveyors.
- Weekly deep clean: all equipment, walls, floors, drains.
- Monthly verification: ATP swab test; results logged.

# 3. Approved Cleaning Agents
| Agent          | Dilution | Contact Time | Application |
|----------------|----------|--------------|-------------|
| AlkaClean-200  | 2%       | 5 minutes    | Surfaces    |
| SaniQuat-50    | 0.5%     | 3 minutes    | Sanitisation|
| AcidFoam-Pro   | 1%       | 10 minutes   | CIP lines   |

Do NOT mix cleaning agents. Rinse thoroughly between steps.

# 4. Cleaning Procedure (End-of-Run)
1. Isolate equipment (energy isolation per LOTO HS-007).
2. Dismantle removable parts; soak in AlkaClean-200 solution.
3. Rinse all surfaces with potable water.
4. Apply SaniQuat-50 by spray or wipe; allow 3-minute contact time.
5. Final rinse with potable water; confirm no residue.
6. Reassemble equipment; record cleaning in log.
7. QA verification swab on critical surfaces before next run.

# 5. Personal Protective Equipment (PPE)
Chemical-resistant gloves, safety goggles, and apron required.
Face shield required when handling acid foam concentrates.

# 6. Spill Response
Neutralise acid/alkali spills with appropriate neutraliser from the spill kit
located at each line entrance. Report all chemical spills as incidents per SOP-002.

# 7. Verification
ATP swab results must be < 100 RLU. Positive result triggers re-clean and re-test.
Monthly summary reported to QA Manager."
SOP-006,Emergency Evacuation and Muster Procedure,incidents,Rev-4,"# 1. Purpose
This document establishes the standard procedure for emergency evacuation and muster procedure.
It applies to all personnel involved in incidents activities and ensures consistency,
compliance, and continuous improvement.

# 2. Scope
Applicable to all shifts and production lines. Any deviation from this procedure
must be approved in writing by the department manager and documented in the change
control system.

# 3. Responsibilities
- Department Manager: procedure owner; reviews annually.
- Supervisors: ensure team compliance; report deviations.
- Operators/Technicians: follow procedure as written; raise concerns immediately.
- QA: verify compliance during audits; issue NCRs for non-conformances.

# 4. Procedure Steps
1. Review the applicable requirements and confirm all prerequisites are met.
2. Gather required tools, materials, and PPE before starting.
3. Perform the activity following the steps defined in this document.
4. Record all observations and measurements in the designated log or system.
5. If an out-of-specification condition is found, stop work and notify supervisor.
6. Complete all required documentation before leaving the workstation.

# 5. Key Performance Indicators
Compliance rate: ≥ 95% on internal audits.
Deviations logged and tracked monthly by QA.

# 6. Related Documents
Refer to the Document Master List (DML-001) for the latest revision of all
supporting specifications, drawings, and work instructions referenced herein.

# 7. Revision History
Rev-1: Initial release.
Rev-2: Incorporated audit findings from ISO 9001 gap assessment."
SOP-007,New Product Introduction Checklist,production,Rev-3,"# 1. Purpose
This document establishes the standard procedure for new product introduction checklist.
It applies to all personnel involved in production activities and ensures consistency,
compliance, and continuous improvement.

# 2. Scope
Applicable to all shifts and production lines. Any deviation from this procedure
must be approved in writing by the department manager and documented in the change
control system.

# 3. Responsibilities
- Department Manager: procedure owner; reviews annually.
- Supervisors: ensure team compliance; report deviations.
- Operators/Technicians: follow procedure as written; raise concerns immediately.
- QA: verify compliance during audits; issue NCRs for non-conformances.

# 4. Procedure Steps
1. Review the applicable requirements and confirm all prerequisites are met.
2. Gather required tools, materials, and PPE before starting.
3. Perform the activity following the steps defined in this document.
4. Record all observations and measurements in the designated log or system.
5. If an out-of-specification condition is found, stop work and notify supervisor.
6. Complete all required documentation before leaving the workstation.

# 5. Key Performance Indicators
Compliance rate: ≥ 95% on internal audits.
Deviations logged and tracked monthly by QA.

# 6. Related Documents
Refer to the Document Master List (DML-001) for the latest revision of all
supporting specifications, drawings, and work instructions referenced herein.

# 7. Revision History
Rev-1: Initial release.
Rev-2: Incorporated audit findings from ISO 9001 gap assessment."
SOP-008,Calibration Management Procedure,quality,Rev-2,"# 1. Purpose
This document establishes the standard procedure for calibration management procedure.
It applies to all personnel involved in quality activities and ensures consistency,
compliance, and continuous improvement.

# 2. Scope
Applicable to all shifts and production lines. Any deviation from this procedure
must be approved in writing by the department manager and documented in the change
control system.

# 3. Responsibilities
- Department Manager: procedure owner; reviews annually.
- Supervisors: ensure team compliance; report deviations.
- Operators/Technicians: follow procedure as written; raise concerns immediately.
- QA: verify compliance during audits; issue NCRs for non-conformances.

# 4. Procedure Steps
1. Review the applicable requirements and confirm all prerequisites are met.
2. Gather required tools, materials, and PPE before starting.
3. Perform the activity following the steps defined in this document.
4. Record all observations and measurements in the designated log or system.
5. If an out-of-specification condition is found, stop work and notify supervisor.
6. Complete all required documentation before leaving the workstation.

# 5. Key Performance Indicators
Compliance rate: ≥ 95% on internal audits.
Deviations logged and tracked monthly by QA.

# 6. Related Documents
Refer to the Document Master List (DML-001) for the latest revision of all
supporting specifications, drawings, and work instructions referenced herein.

# 7. Revision History
Rev-1: Initial release.
Rev-2: Incorporated audit findings from ISO 9001 gap assessment."
SOP-009,Supplier Qualification and Audit Procedure,quality,Rev-6,"# 1. Purpose
This document establishes the standard procedure for supplier qualification and audit procedure.
It applies to all personnel involved in quality activities and ensures consistency,
compliance, and continuous improvement.

# 2. Scope
Applicable to all shifts and production lines. Any deviation from this procedure
must be approved in writing by the department manager and documented in the change
control system.

# 3. Responsibilities
- Department Manager: procedure owner; reviews annually.
- Supervisors: ensure team compliance; report deviations.
- Operators/Technicians: follow procedure as written; raise concerns immediately.
- QA: verify compliance during audits; issue NCRs for non-conformances.

# 4. Procedure Steps
1. Review the applicable requirements and confirm all prerequisites are met.
2. Gather required tools, materials, and PPE before starting.
3. Perform the activity following the steps defined in this document.
4. Record all observations and measurements in the designated log or system.
5. If an out-of-specification condition is found, stop work and notify supervisor.
6. Complete all required documentation before leaving the workstation.

# 5. Key Performance Indicators
Compliance rate: ≥ 95% on internal audits.
Deviations logged and tracked monthly by QA.

# 6. Related Documents
Refer to the Document Master List (DML-001) for the latest revision of all
supporting specifications, drawings, and work instructions referenced herein.

# 7. Revision History
Rev-1: Initial release.
Rev-2: Incorporated audit findings from ISO 9001 gap assessment."
SOP-010,Change Control and Management of Change Procedure,production,Rev-3,"# 1. Purpose
This document establishes the standard procedure for change control and management of change procedure.
It applies to all personnel involved in production activities and ensures consistency,
compliance, and continuous improvement.

# 2. Scope
Applicable to all shifts and production lines. Any deviation from this procedure
must be approved in writing by the department manager and documented in the change
control system.

# 3. Responsibilities
- Department Manager: procedure owner; reviews annually.
- Supervisors: ensure team compliance; report deviations.
- Operators/Technicians: follow procedure as written; raise concerns immediately.
- QA: verify compliance during audits; issue NCRs for non-conformances.

# 4. Procedure Steps
1. Review the applicable requirements and confirm all prerequisites are met.
2. Gather required tools, materials, and PPE before starting.
3. Perform the activity following the steps defined in this document.
4. Record all observations and measurements in the designated log or system.
5. If an out-of-specification condition is found, stop work and notify supervisor.
6. Complete all required documentation before leaving the workstation.

# 5. Key Performance Indicators
Compliance rate: ≥ 95% on internal audits.
Deviations logged and tracked monthly by QA.

# 6. Related Documents
Refer to the Document Master List (DML-001) for the latest revision of all
supporting specifications, drawings, and work instructions referenced herein.

# 7. Revision History
Rev-1: Initial release.
Rev-2: Incorporated audit findings from ISO 9001 gap assessment."
