inspection_id,date,product,batch_id,inspector,total_units,defective_units,defect_rate_pct,defect_type,disposition,cp,cpk,description,corrective_action
QI-112426,2023-01-18,Widget-Beta,BATCH-90808,QA-01 (John Lee),241,1,0.41,Dimensional deviation,Hold for review,1.42,1.22,"Batch BATCH-90808 of Widget-Beta inspected by QA-01 (John Lee). Dimensional deviation found in 1 of 241 units (0.4%). Disposition: Hold for review. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.42, Cpk: 1.22. Control chart shows bimodal distribution — two machines suspected.",Adjusted feed rate on CNC-3
QI-301255,2024-09-26,Gear-M5,BATCH-33496,QA-03 (Mike Torres),58,4,6.9,Material void,Scrap,1.61,1.41,"Batch BATCH-33496 of Gear-M5 inspected by QA-03 (Mike Torres). Material void found in 4 of 58 units (6.9%). Disposition: Scrap. Corrective action initiated: Calibrated CMM probe. Process Cp: 1.61, Cpk: 1.41. Control chart shows stable within control limits.",Calibrated CMM probe
QI-785491,2024-10-27,Gear-M5,BATCH-70161,QA-02 (Sara Novak),457,25,5.47,Material void,Scrap,0.88,0.59,In-process inspection at Station 4 flagged Gear-M5 batch BATCH-70161. 25/457 units exhibited Material void. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-84055.,Replaced worn cutting insert
QI-693343,2023-04-08,Widget-Alpha,BATCH-32463,QA-01 (John Lee),243,17,7.0,Assembly gap,Hold for review,1.28,1.09,Final inspection of Widget-Alpha (batch BATCH-32463). Overall yield: 93.0%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Updated inspection sampling plan
QI-288066,2023-11-19,Gear-M5,BATCH-16102,QA-01 (John Lee),494,44,8.91,Dimensional deviation,Rework,1.69,1.55,Final inspection of Gear-M5 (batch BATCH-16102). Overall yield: 91.1%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-01 (John Lee).,Calibrated CMM probe
QI-892313,2023-05-24,Widget-Alpha,BATCH-83919,QA-01 (John Lee),435,25,5.75,Coating defect,Rework,1.73,1.64,In-process inspection at Station 7 flagged Widget-Alpha batch BATCH-83919. 25/435 units exhibited Coating defect. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-41519.,Calibrated CMM probe
QI-921609,2024-04-06,Widget-Alpha,BATCH-54642,QA-03 (Mike Torres),77,1,1.3,Weight out of spec,Scrap,1.24,0.99,"Batch BATCH-54642 of Widget-Alpha inspected by QA-03 (Mike Torres). Weight out of spec found in 1 of 77 units (1.3%). Disposition: Scrap. Corrective action initiated: Retrained operator on torque spec. Process Cp: 1.24, Cpk: 0.99. Control chart shows one-point-out-of-control signal at subgroup 12.",Retrained operator on torque spec
QI-186023,2023-10-02,Pump-G10,BATCH-21232,QA-01 (John Lee),271,5,1.85,Material void,Hold for review,1.48,1.28,Final inspection of Pump-G10 (batch BATCH-21232). Overall yield: 98.2%. Material void accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-238943,2023-03-31,Widget-Beta,BATCH-10680,QA-02 (Sara Novak),428,24,5.61,Weight out of spec,Rework,1.12,1.09,In-process inspection at Station 8 flagged Widget-Beta batch BATCH-10680. 24/428 units exhibited Weight out of spec. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-50405.,Retrained operator on torque spec
QI-533911,2024-02-02,Widget-Beta,BATCH-88240,QA-02 (Sara Novak),102,0,0.0,Assembly gap,Hold for review,0.89,0.72,"Batch BATCH-88240 of Widget-Beta inspected by QA-02 (Sara Novak). Assembly gap found in 0 of 102 units (0.0%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 0.89, Cpk: 0.72. Control chart shows one-point-out-of-control signal at subgroup 12.",Updated inspection sampling plan
QI-166340,2023-06-21,Widget-Alpha,BATCH-28198,QA-03 (Mike Torres),342,33,9.65,Coating defect,Rework,0.97,0.86,In-process inspection at Station 5 flagged Widget-Alpha batch BATCH-28198. 33/342 units exhibited Coating defect. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-45247.,Retrained operator on torque spec
QI-580102,2023-04-20,Pump-G10,BATCH-42321,QA-02 (Sara Novak),297,25,8.42,Assembly gap,Scrap,0.88,0.8,Final inspection of Pump-G10 (batch BATCH-42321). Overall yield: 91.6%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-02 (Sara Novak).,Calibrated CMM probe
QI-436241,2024-09-09,Widget-Beta,BATCH-67700,QA-02 (Sara Novak),220,19,8.64,Surface scratch,Hold for review,1.18,0.92,"Batch BATCH-67700 of Widget-Beta inspected by QA-02 (Sara Novak). Surface scratch found in 19 of 220 units (8.6%). Disposition: Hold for review. Corrective action initiated: Calibrated CMM probe. Process Cp: 1.18, Cpk: 0.92. Control chart shows one-point-out-of-control signal at subgroup 12.",Calibrated CMM probe
QI-956156,2024-02-07,Widget-Beta,BATCH-74357,QA-02 (Sara Novak),253,10,3.95,Material void,Rework,1.09,0.88,In-process inspection at Station 4 flagged Widget-Beta batch BATCH-74357. 10/253 units exhibited Material void. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-85481.,Retrained operator on torque spec
